SL No,Org,OrgCode,fetch_name,payload,expected_response,actual_response,Result,query_count
13,Airtel,AIRTELULB_540943,get_active_butterfly,"{""password"":""A123456"",""data"":{""payload"":{""CAFNumber"":""D274391527"",""airtelNo"":""9898863555"",""Ordernumber"":""21-4186354405372""},""type"":""get_active_butterfly""},""username"":""7207207202""}","{""success"": True, ""data"": {""response"": [{""msg"": ""success"", ""orderNo"": ""21-4186354405372"", ""_minAmount"": ""0.01"", ""Amount"": ""2500"", ""field_label"": ""Vanity Charge"", ""cafNumber1"": ""{""name"":""accountId"",""value"":""D274391527""},{""description"":""CAF No."",""name"":""accountId"",""value"":""D274391527""},{""name"":""ref"",""value"":""D274391527""},"", ""airtelNo"": ""9898863555"", ""type"": ""CAFNumber"", ""salesChannelId"": ""-11557"", ""cafNumber"": ""D274391527"", ""orderNo1"": ""{""name"": ""orderNumber"",""value"": ""21-4186354405372"",""description"": null},{""name"": ""orderNumber"",""value"": ""21-4186354405372"",""description"": ""Order No.""},"", ""field_key"": ""0Li+1::null::1-HIVF::23"", ""_amountField"": ""2500"", ""field_value"": ""2500"", ""vanityCharges"": ""2500"", ""_maxAmount"": ""1000000"", ""circle"": ""GJ"", ""airtelNo1"": ""{""name"": ""airtelNo"",""value"": ""9898863555"",""description"": ""Airtel No.""},{""name"": ""airtelNo"",""value"": ""9898863555"",""description"": ""Proposed Phone No.""},"", ""0Li+1::null::1-HIVF::23"": ""2500""}]}}","{""success"": True, ""data"": {""response"": [{""msg"": ""success"", ""orderNo"": ""21-4186354405372"", ""_minAmount"": ""0.01"", ""Amount"": ""2500"", ""field_label"": ""Vanity Charge"", ""cafNumber1"": ""{""name"":""accountId"",""value"":""D274391527""},{""description"":""CAF No."",""name"":""accountId"",""value"":""D274391527""},{""name"":""ref"",""value"":""D274391527""},"", ""airtelNo"": ""9898863555"", ""type"": ""CAFNumber"", ""salesChannelId"": ""-11557"", ""cafNumber"": ""D274391527"", ""orderNo1"": ""{""name"": ""orderNumber"",""value"": ""21-4186354405372"",""description"": null},{""name"": ""orderNumber"",""value"": ""21-4186354405372"",""description"": ""Order No.""},"", ""field_key"": ""0Li+1::null::1-HIVF::23"", ""_amountField"": ""2500"", ""field_value"": ""2500"", ""vanityCharges"": ""2500"", ""_maxAmount"": ""1000000"", ""circle"": ""GJ"", ""airtelNo1"": ""{""name"": ""airtelNo"",""value"": ""9898863555"",""description"": ""Airtel No.""},{""name"": ""airtelNo"",""value"": ""9898863555"",""description"": ""Proposed Phone No.""},"", ""0Li+1::null::1-HIVF::23"": ""2500""}]}}",Pass,1
14,Airtel,AIRTELULB_540943,get_Order_Details,"{""password"":""A123456"",""data"":{""payload"":{""recieptNumber"":""01534498112078""},""type"":""get_Order_Details""},""username"":""7207207202""}","{""success"": False, ""errorCode"": ""EZETAP_0000541"", ""errorMessage"": ""PLEASE CONTACT CAD AIRTEL TEAM"", ""data"": {""response"": [{""errorCode"": ""EZETAP_0000541"", ""errorMsg"": ""PLEASE CONTACT CAD AIRTEL TEAM""}]}}","{""success"": False, ""errorCode"": ""EZETAP_0000541"", ""errorMessage"": ""PLEASE CONTACT CAD AIRTEL TEAM"", ""data"": {""response"": [{""errorCode"": ""EZETAP_0000541"", ""errorMsg"": ""PLEASE CONTACT CAD AIRTEL TEAM""}]}}",Pass,1
15,Airtel,AIRTELULB_540943,get_active_mobile,"{""password"":""A123456"",""data"":{""payload"":{""airtelNo"":""8139886369"",""CAFNumber"":""D463089156"",""CAFNumber2"":""D463089156"",""activationFees"":""300"",""Ordernumber"":"""",""advanceRental"":""0"",""advSecurityDeposit"":""0"",""securityDepositOthers"":""0""},""type"":""get_active_mobile""},""username"":""7207207202""}","{""success"": True, ""data"": {""response"": [{""msg"": ""success"", ""CAFNumber"": ""D463089156"", ""_minAmount"": ""0.01"", ""airtelNo"": ""8139886369"", ""_amountField"": ""300"", ""_maxAmount"": ""1000000""}]}}","{""success"": True, ""data"": {""response"": [{""msg"": ""success"", ""CAFNumber"": ""D463089156"", ""_minAmount"": ""0.01"", ""airtelNo"": ""8139886369"", ""_amountField"": ""300"", ""_maxAmount"": ""1000000""}]}}",Pass,1
16,Airtel,AIRTELULB_540943,get_active_landline,"{""password"":""A123456"",""data"":{""payload"":{""CAFNumber"":""d262689839"",""CAFNumber2"":""d262689839"",""activationFees"":""300"",""advanceRental"":""0"",""securityDepositOthers"":""0""},""type"":""get_active_landline""},""username"":""7207207202""}","{""success"": True, ""data"": {""response"": [{""msg"": ""success"", ""CAFNumber"": ""d262689839"", ""_minAmount"": ""0.01"", ""_amountField"": ""300"", ""_maxAmount"": ""1000000""}]}}","{""success"": True, ""data"": {""response"": [{""msg"": ""success"", ""CAFNumber"": ""d262689839"", ""_minAmount"": ""0.01"", ""_amountField"": ""300"", ""_maxAmount"": ""1000000""}]}}",Pass,1
17,GWMC,GWMCCONFIGMERCHANT,User_Charges_Tax_PullV2,"{""password"":""A123456"",""data"":{""payload"":{""shopid"":""18324""},""type"":""User_Charges_Tax_PullV2""},""username"":""7207207203""}","{""success"": True, ""data"": {""response"": [{""Body"": {""userchargesdemandResponse"": {""userchargesdemandResult"": {""schema"": {""id"": ""NewDataSet"", ""element"": {""IsDataSet"": ""true"", ""complexType"": {""choice"": {""minOccurs"": ""0"", ""maxOccurs"": ""unbounded"", ""element"": {""complexType"": {""sequence"": {""element"": [{""minOccurs"": ""0"", ""name"": ""SHOPID"", ""type"": ""xs:double""}, {""minOccurs"": ""0"", ""name"": ""HOUSENO"", ""type"": ""xs:string""}, {""minOccurs"": ""0"", ""name"": ""CITY_NAME"", ""type"": ""xs:string""}, {""minOccurs"": ""0"", ""name"": ""SHOP_NAME"", ""type"": ""xs:string""}, {""minOccurs"": ""0"", ""name"": ""OWNEROFTHESHOP"", ""type"": ""xs:string""}, {""minOccurs"": ""0"", ""name"": ""ARRAMT"", ""type"": ""xs:decimal""}, {""minOccurs"": ""0"", ""name"": ""CURRAMT"", ""type"": ""xs:decimal""}, {""minOccurs"": ""0"", ""name"": ""CLOSING"", ""type"": ""xs:decimal""}, {""minOccurs"": ""0"", ""name"": ""GNAME"", ""type"": ""xs:string""}, {""minOccurs"": ""0"", ""name"": ""GID"", ""type"": ""xs:double""}]}}, ""name"": ""gcharges_demand""}}}, ""name"": ""NewDataSet"", ""UseCurrentLocale"": ""true""}}, ""diffgram"": {""NewDataSet"": {""gcharges_demand"": {""CURRAMT"": ""0"", ""OWNEROFTHESHOP"": ""BHARAT NARANG"", ""ARRAMT"": ""0"", ""GID"": ""25"", ""CLOSING"": ""0"", ""HOUSENO"": ""#7-1-89"", ""CITY_NAME"": ""BALASAMUDRAM"", ""SHOP_NAME"": ""ASIAN SRIDEVI SCREEN 3"", ""id"": ""gcharges_demand1"", ""rowOrder"": ""0"", ""SHOPID"": ""18324"", ""GNAME"": ""CINEMA HALLS AND ENTERTINMENT""}}}}}}}]}}","{""success"": True, ""data"": {""response"": [{""Body"": {""userchargesdemandResponse"": {""userchargesdemandResult"": {""schema"": {""id"": ""NewDataSet"", ""element"": {""IsDataSet"": ""true"", ""complexType"": {""choice"": {""minOccurs"": ""0"", ""maxOccurs"": ""unbounded"", ""element"": {""complexType"": {""sequence"": {""element"": [{""minOccurs"": ""0"", ""name"": ""SHOPID"", ""type"": ""xs:double""}, {""minOccurs"": ""0"", ""name"": ""HOUSENO"", ""type"": ""xs:string""}, {""minOccurs"": ""0"", ""name"": ""CITY_NAME"", ""type"": ""xs:string""}, {""minOccurs"": ""0"", ""name"": ""SHOP_NAME"", ""type"": ""xs:string""}, {""minOccurs"": ""0"", ""name"": ""OWNEROFTHESHOP"", ""type"": ""xs:string""}, {""minOccurs"": ""0"", ""name"": ""ARRAMT"", ""type"": ""xs:decimal""}, {""minOccurs"": ""0"", ""name"": ""CURRAMT"", ""type"": ""xs:decimal""}, {""minOccurs"": ""0"", ""name"": ""CLOSING"", ""type"": ""xs:decimal""}, {""minOccurs"": ""0"", ""name"": ""GNAME"", ""type"": ""xs:string""}, {""minOccurs"": ""0"", ""name"": ""GID"", ""type"": ""xs:double""}]}}, ""name"": ""gcharges_demand""}}}, ""name"": ""NewDataSet"", ""UseCurrentLocale"": ""true""}}, ""diffgram"": {""NewDataSet"": {""gcharges_demand"": {""CURRAMT"": ""0"", ""OWNEROFTHESHOP"": ""BHARAT NARANG"", ""ARRAMT"": ""0"", ""GID"": ""25"", ""CLOSING"": ""0"", ""HOUSENO"": ""#7-1-89"", ""CITY_NAME"": ""BALASAMUDRAM"", ""SHOP_NAME"": ""ASIAN SRIDEVI SCREEN 3"", ""id"": ""gcharges_demand1"", ""rowOrder"": ""0"", ""SHOPID"": ""18324"", ""GNAME"": ""CINEMA HALLS AND ENTERTINMENT""}}}}}}}]}}",Pass,1
18,GWMC,GWMCCONFIGMERCHANT,Meter_Charges_Tax_PullV2,"{""password"":""A123456"",""data"":{""payload"":{""mnno"":""674""},""type"":""Meter_Charges_Tax_PullV2""},""username"":""7207207203""}","{""success"": True, ""data"": {""response"": [{""Body"": {""metertapdemandResponse"": {""metertapdemandResult"": {""schema"": {""id"": ""NewDataSet"", ""element"": {""IsDataSet"": ""true"", ""complexType"": {""choice"": {""minOccurs"": ""0"", ""maxOccurs"": ""unbounded"", ""element"": {""complexType"": {""sequence"": {""element"": [{""minOccurs"": ""0"", ""name"": ""MNNO"", ""type"": ""xs:decimal""}, {""minOccurs"": ""0"", ""name"": ""HOUSENO"", ""type"": ""xs:string""}, {""minOccurs"": ""0"", ""name"": ""CITY_NAME"", ""type"": ""xs:string""}, {""minOccurs"": ""0"", ""name"": ""OWNER"", ""type"": ""xs:string""}, {""minOccurs"": ""0"", ""name"": ""STATUS"", ""type"": ""xs:string""}, {""minOccurs"": ""0"", ""name"": ""DIASIZE"", ""type"": ""xs:string""}, {""minOccurs"": ""0"", ""name"": ""ASSESMENT_DESC"", ""type"": ""xs:string""}, {""minOccurs"": ""0"", ""name"": ""ARRAMT"", ""type"": ""xs:decimal""}, {""minOccurs"": ""0"", ""name"": ""CURRAMT"", ""type"": ""xs:decimal""}, {""minOccurs"": ""0"", ""name"": ""CLOSING"", ""type"": ""xs:decimal""}]}}, ""name"": ""metertapview""}}}, ""name"": ""NewDataSet"", ""UseCurrentLocale"": ""true""}}, ""diffgram"": {""NewDataSet"": {""metertapview"": {""CURRAMT"": ""2040"", ""OWNER"": ""GOPU VENNAMMA"", ""STATUS"": ""NULL"", ""ARRAMT"": ""3570"", ""CLOSING"": ""5610"", ""HOUSENO"": ""#1-7-985"", ""ASSESMENT_DESC"": ""APARTMENTS"", ""MNNO"": ""674"", ""CITY_NAME"": ""ADVOCATE COLONY"", ""DIASIZE"": ""1.5"", ""id"": ""metertapview1"", ""rowOrder"": ""0""}}}}}}}]}}","{""success"": True, ""data"": {""response"": [{""Body"": {""metertapdemandResponse"": {""metertapdemandResult"": {""schema"": {""id"": ""NewDataSet"", ""element"": {""IsDataSet"": ""true"", ""complexType"": {""choice"": {""minOccurs"": ""0"", ""maxOccurs"": ""unbounded"", ""element"": {""complexType"": {""sequence"": {""element"": [{""minOccurs"": ""0"", ""name"": ""MNNO"", ""type"": ""xs:decimal""}, {""minOccurs"": ""0"", ""name"": ""HOUSENO"", ""type"": ""xs:string""}, {""minOccurs"": ""0"", ""name"": ""CITY_NAME"", ""type"": ""xs:string""}, {""minOccurs"": ""0"", ""name"": ""OWNER"", ""type"": ""xs:string""}, {""minOccurs"": ""0"", ""name"": ""STATUS"", ""type"": ""xs:string""}, {""minOccurs"": ""0"", ""name"": ""DIASIZE"", ""type"": ""xs:string""}, {""minOccurs"": ""0"", ""name"": ""ASSESMENT_DESC"", ""type"": ""xs:string""}, {""minOccurs"": ""0"", ""name"": ""ARRAMT"", ""type"": ""xs:decimal""}, {""minOccurs"": ""0"", ""name"": ""CURRAMT"", ""type"": ""xs:decimal""}, {""minOccurs"": ""0"", ""name"": ""CLOSING"", ""type"": ""xs:decimal""}]}}, ""name"": ""metertapview""}}}, ""name"": ""NewDataSet"", ""UseCurrentLocale"": ""true""}}, ""diffgram"": {""NewDataSet"": {""metertapview"": {""CURRAMT"": ""2040"", ""OWNER"": ""GOPU VENNAMMA"", ""STATUS"": ""NULL"", ""ARRAMT"": ""3570"", ""CLOSING"": ""5610"", ""HOUSENO"": ""#1-7-985"", ""ASSESMENT_DESC"": ""APARTMENTS"", ""MNNO"": ""674"", ""CITY_NAME"": ""ADVOCATE COLONY"", ""DIASIZE"": ""1.5"", ""id"": ""metertapview1"", ""rowOrder"": ""0""}}}}}}}]}}",Pass,1
19,GWMC,GWMCCONFIGMERCHANT,Trade_Tax_PullV2,"{""password"":""A123456"",""data"":{""payload"":{""shopid"":""45067""},""type"":""Trade_Tax_PullV2""},""username"":""7207207203""}","{""success"": True, ""data"": {""response"": [{""Body"": {""tradedemandResponse"": {""tradedemandResult"": {""schema"": {""id"": ""NewDataSet"", ""element"": {""IsDataSet"": ""true"", ""complexType"": {""choice"": {""minOccurs"": ""0"", ""maxOccurs"": ""unbounded"", ""element"": {""complexType"": {""sequence"": {""element"": [{""minOccurs"": ""0"", ""name"": ""SHOPID"", ""type"": ""xs:double""}, {""minOccurs"": ""0"", ""name"": ""SHOP_NAME"", ""type"": ""xs:string""}, {""minOccurs"": ""0"", ""name"": ""CITY_NAME"", ""type"": ""xs:string""}, {""minOccurs"": ""0"", ""name"": ""HNOID"", ""type"": ""xs:decimal""}, {""minOccurs"": ""0"", ""name"": ""OWNEROFTHESHOP"", ""type"": ""xs:string""}, {""minOccurs"": ""0"", ""name"": ""TRADE_DESC"", ""type"": ""xs:string""}, {""minOccurs"": ""0"", ""name"": ""TRADE_CODE"", ""type"": ""xs:decimal""}, {""minOccurs"": ""0"", ""name"": ""WARD"", ""type"": ""xs:decimal""}, {""minOccurs"": ""0"", ""name"": ""BLOCK"", ""type"": ""xs:decimal""}, {""minOccurs"": ""0"", ""name"": ""HNO"", ""type"": ""xs:string""}, {""minOccurs"": ""0"", ""name"": ""HOUSENO"", ""type"": ""xs:string""}, {""minOccurs"": ""0"", ""name"": ""AGE"", ""type"": ""xs:decimal""}, {""minOccurs"": ""0"", ""name"": ""PARTNER"", ""type"": ""xs:string""}, {""minOccurs"": ""0"", ""name"": ""AADHAR"", ""type"": ""xs:string""}, {""minOccurs"": ""0"", ""name"": ""STATUS"", ""type"": ""xs:string""}, {""minOccurs"": ""0"", ""name"": ""ARRAMT"", ""type"": ""xs:decimal""}, {""minOccurs"": ""0"", ""name"": ""CURRAMT"", ""type"": ""xs:decimal""}, {""minOccurs"": ""0"", ""name"": ""CLOSING"", ""type"": ""xs:decimal""}, {""minOccurs"": ""0"", ""name"": ""OFINES"", ""type"": ""xs:decimal""}, {""minOccurs"": ""0"", ""name"": ""FINES"", ""type"": ""xs:decimal""}, {""minOccurs"": ""0"", ""name"": ""CFINES"", ""type"": ""xs:decimal""}, {""minOccurs"": ""0"", ""name"": ""DYEAR"", ""type"": ""xs:string""}]}}, ""name"": ""TRADEDEMAND""}}}, ""name"": ""NewDataSet"", ""UseCurrentLocale"": ""true""}}, ""diffgram"": {""NewDataSet"": {""TRADEDEMAND"": {""PARTNER"": ""GAJULA RAJAMOULI"", ""CURRAMT"": ""2000"", ""OFINES"": ""0"", ""CLOSING"": ""2000"", ""HOUSENO"": ""1-1-227/20/1"", ""FINES"": ""0"", ""DYEAR"": ""2022-23"", ""SHOP_NAME"": ""VARDHAN KIRANAM"", ""CFINES"": ""0"", ""BLOCK"": ""1"", ""HNO"": ""227/20/1"", ""AADHAR"": ""880601356959"", ""rowOrder"": ""0"", ""SHOPID"": ""45067"", ""OWNEROFTHESHOP"": ""GAJULA VAMSHI"", ""STATUS"": ""-"", ""ARRAMT"": ""0"", ""WARD"": ""1"", ""CITY_NAME"": ""PRASHANTI NAGAR"", ""TRADE_CODE"": ""2"", ""id"": ""TRADEDEMAND1"", ""TRADE_DESC"": ""KIRANA SHOP"", ""HNOID"": ""139901"", ""AGE"": ""25""}}}}}}}]}}","{""success"": True, ""data"": {""response"": [{""Body"": {""tradedemandResponse"": {""tradedemandResult"": {""schema"": {""id"": ""NewDataSet"", ""element"": {""IsDataSet"": ""true"", ""complexType"": {""choice"": {""minOccurs"": ""0"", ""maxOccurs"": ""unbounded"", ""element"": {""complexType"": {""sequence"": {""element"": [{""minOccurs"": ""0"", ""name"": ""SHOPID"", ""type"": ""xs:double""}, {""minOccurs"": ""0"", ""name"": ""SHOP_NAME"", ""type"": ""xs:string""}, {""minOccurs"": ""0"", ""name"": ""CITY_NAME"", ""type"": ""xs:string""}, {""minOccurs"": ""0"", ""name"": ""HNOID"", ""type"": ""xs:decimal""}, {""minOccurs"": ""0"", ""name"": ""OWNEROFTHESHOP"", ""type"": ""xs:string""}, {""minOccurs"": ""0"", ""name"": ""TRADE_DESC"", ""type"": ""xs:string""}, {""minOccurs"": ""0"", ""name"": ""TRADE_CODE"", ""type"": ""xs:decimal""}, {""minOccurs"": ""0"", ""name"": ""WARD"", ""type"": ""xs:decimal""}, {""minOccurs"": ""0"", ""name"": ""BLOCK"", ""type"": ""xs:decimal""}, {""minOccurs"": ""0"", ""name"": ""HNO"", ""type"": ""xs:string""}, {""minOccurs"": ""0"", ""name"": ""HOUSENO"", ""type"": ""xs:string""}, {""minOccurs"": ""0"", ""name"": ""AGE"", ""type"": ""xs:decimal""}, {""minOccurs"": ""0"", ""name"": ""PARTNER"", ""type"": ""xs:string""}, {""minOccurs"": ""0"", ""name"": ""AADHAR"", ""type"": ""xs:string""}, {""minOccurs"": ""0"", ""name"": ""STATUS"", ""type"": ""xs:string""}, {""minOccurs"": ""0"", ""name"": ""ARRAMT"", ""type"": ""xs:decimal""}, {""minOccurs"": ""0"", ""name"": ""CURRAMT"", ""type"": ""xs:decimal""}, {""minOccurs"": ""0"", ""name"": ""CLOSING"", ""type"": ""xs:decimal""}, {""minOccurs"": ""0"", ""name"": ""OFINES"", ""type"": ""xs:decimal""}, {""minOccurs"": ""0"", ""name"": ""FINES"", ""type"": ""xs:decimal""}, {""minOccurs"": ""0"", ""name"": ""CFINES"", ""type"": ""xs:decimal""}, {""minOccurs"": ""0"", ""name"": ""DYEAR"", ""type"": ""xs:string""}]}}, ""name"": ""TRADEDEMAND""}}}, ""name"": ""NewDataSet"", ""UseCurrentLocale"": ""true""}}, ""diffgram"": {""NewDataSet"": {""TRADEDEMAND"": {""PARTNER"": ""GAJULA RAJAMOULI"", ""CURRAMT"": ""2000"", ""OFINES"": ""0"", ""CLOSING"": ""2000"", ""HOUSENO"": ""1-1-227/20/1"", ""FINES"": ""0"", ""DYEAR"": ""2022-23"", ""SHOP_NAME"": ""VARDHAN KIRANAM"", ""CFINES"": ""0"", ""BLOCK"": ""1"", ""HNO"": ""227/20/1"", ""AADHAR"": ""880601356959"", ""rowOrder"": ""0"", ""SHOPID"": ""45067"", ""OWNEROFTHESHOP"": ""GAJULA VAMSHI"", ""STATUS"": ""-"", ""ARRAMT"": ""0"", ""WARD"": ""1"", ""CITY_NAME"": ""PRASHANTI NAGAR"", ""TRADE_CODE"": ""2"", ""id"": ""TRADEDEMAND1"", ""TRADE_DESC"": ""KIRANA SHOP"", ""HNOID"": ""139901"", ""AGE"": ""25""}}}}}}}]}}",Pass,1
20,GWMC,GWMCCONFIGMERCHANT,get_gwmc_tax_wcdemand,"{""password"":""A123456"",""data"":{""payload"":{""wardNo"":""16"",""blockNo"":""10"",""houseNo"":""1347"",""mpanNo"":""0"",""username"":""5003720372""},""type"":""get_gwmc_tax_wcdemand""},""username"":""7207207203""}","{""success"": True, ""data"": {""response"": [{""CONSNO"": ""38122"", ""OFINES"": ""0"", ""FINES"": ""0"", ""HOUSENO"": ""16-10-1347"", ""GTAX"": ""1440"", ""CELLNO"": ""9296452832"", ""CLGT"": ""1440"", ""CLWC"": ""1800"", ""rowOrder"": ""0"", ""WC"": ""1800"", ""NAME"": ""AMARAVADHI VIJAYA SARADHI  AND A.SHESHA CHALA"", ""CLPT"": ""3316"", ""ARSWC"": ""0"", ""ARSGT"": ""0"", ""CITY_NAME"": ""SHIVA NAGAR"", ""id"": ""HouseMaster1"", ""ARSPT"": ""0"", ""IDNO"": ""0916101447"", ""errorcode"": ""00"", ""PTAX"": ""3316"", ""HNOID"": ""105821""}]}}","{""success"": True, ""data"": {""response"": [{""CONSNO"": ""38122"", ""OFINES"": ""0"", ""FINES"": ""0"", ""HOUSENO"": ""16-10-1347"", ""GTAX"": ""1440"", ""CELLNO"": ""9296452832"", ""CLGT"": ""1440"", ""CLWC"": ""1800"", ""rowOrder"": ""0"", ""WC"": ""1800"", ""NAME"": ""AMARAVADHI VIJAYA SARADHI  AND A.SHESHA CHALA"", ""CLPT"": ""3316"", ""ARSWC"": ""0"", ""ARSGT"": ""0"", ""CITY_NAME"": ""SHIVA NAGAR"", ""id"": ""HouseMaster1"", ""ARSPT"": ""0"", ""IDNO"": ""0916101447"", ""errorcode"": ""00"", ""PTAX"": ""3316"", ""HNOID"": ""105821""}]}}",Pass,1
21,GWMC,GWMCCONFIGMERCHANT,get_gwmc_tax_head,"{""password"":""A123456"",""data"":{""payload"":{""headcode"":""2""},""type"":""get_gwmc_tax_head""},""username"":""7207207203""}","{""success"": True, ""data"": {""response"": [{""keys"": [{""AMOUNT"": ""0"", ""HEADCODE"": ""253"", ""HEADNAME"": ""COVID 19 FINES""}, {""AMOUNT"": ""0"", ""HEADCODE"": ""229"", ""HEADNAME"": ""FINES ON LITTERING""}, {""AMOUNT"": ""0"", ""HEADCODE"": ""230"", ""HEADNAME"": ""FINES ON PLASTIC""}, {""AMOUNT"": ""0"", ""HEADCODE"": ""195"", ""HEADNAME"": ""SWM FINES""}], ""errorcode"": ""00""}]}}","{""success"": True, ""data"": {""response"": [{""keys"": [{""AMOUNT"": ""0"", ""HEADCODE"": ""253"", ""HEADNAME"": ""COVID 19 FINES""}, {""AMOUNT"": ""0"", ""HEADCODE"": ""229"", ""HEADNAME"": ""FINES ON LITTERING""}, {""AMOUNT"": ""0"", ""HEADCODE"": ""230"", ""HEADNAME"": ""FINES ON PLASTIC""}, {""AMOUNT"": ""0"", ""HEADCODE"": ""195"", ""HEADNAME"": ""SWM FINES""}], ""errorcode"": ""00""}]}}",Pass,1
22,GWMC,GWMCCONFIGMERCHANT,get_gwmc_tax,"{""password"":""A123456"",""data"":{""payload"":{""username"":""5009720972""},""type"":""get_gwmc_tax""},""username"":""7207207203""}","{""success"": True, ""data"": {""response"": [{""keys"": [{""DEPTCODE"": ""0003"", ""DEPTNAME"": ""GENERAL ESTABLISHMENT SECTION""}, {""DEPTCODE"": ""0002"", ""DEPTNAME"": ""HEALTH SECTION""}], ""errorcode"": ""00""}]}}","{""success"": True, ""data"": {""response"": [{""keys"": [{""DEPTCODE"": ""0003"", ""DEPTNAME"": ""GENERAL ESTABLISHMENT SECTION""}, {""DEPTCODE"": ""0002"", ""DEPTNAME"": ""HEALTH SECTION""}], ""errorcode"": ""00""}]}}",Pass,1
23,BMC,BHOPALMUNICIPALFDC,get_mp_property_details,"{""password"":""A123456"",""data"":{""payload"":{""IvPropID"":""1000103062"",""IvOldID"":"""",""IvUsrID"":""CFC-ROYALMARKET,CFC-RM""},""type"":""get_mp_property_details""},""username"":""7207207205""}","{""success"": True, ""data"": {""response"": [{""message"": ""Unable to identify REST method:  (POST)""}]}}","{""success"": True, ""data"": {""response"": [{""message"": ""Unable to identify REST method:  (POST)""}]}}",Pass,1
24,BMC,BHOPALMUNICIPALFDC,BMC_water,"{""password"":""A123456"",""data"":{""payload"":{""ConnectionNo"":""T000033998""},""type"":""BMC_water""},""username"":""7207207205""}","{""success"": True, ""data"": {""response"": [{""data"": {""ExName"": ""???? ??0??0"", ""ExFatherName"": ""."", ""ExConnectionNo"": ""T000033998"", ""ExZone"": ""???? ???. 14"", ""ExColony"": ""????? ???"", ""ExWard"": ""56 - ?????? ?????"", ""ExAddress"": ""3-?? ????? ???"", ""ExWaterBillDetails"": {""item"": [{""FiscalYear"": ""2021"", ""Amount"": ""2214.0""}, {""FiscalYear"": ""2022"", ""Amount"": ""2520.0""}]}}, ""success"": True, ""txnRef"": ""220706E1657097913671"", ""tax"": {""totalTax"": 4734, ""currentTax"": 2520, ""Arrears"": 2214}}]}}","{""success"": True, ""data"": {""response"": [{""data"": {""ExName"": ""???? ??0??0"", ""ExFatherName"": ""."", ""ExConnectionNo"": ""T000033998"", ""ExZone"": ""???? ???. 14"", ""ExColony"": ""????? ???"", ""ExWard"": ""56 - ?????? ?????"", ""ExAddress"": ""3-?? ????? ???"", ""ExWaterBillDetails"": {""item"": [{""FiscalYear"": ""2021"", ""Amount"": ""2214.0""}, {""FiscalYear"": ""2022"", ""Amount"": ""2520.0""}]}}, ""success"": True, ""txnRef"": ""220706E1657110107841"", ""tax"": {""totalTax"": 4734, ""currentTax"": 2520, ""Arrears"": 2214}}]}}",Pass,1
25,BMC,BHOPALMUNICIPALFDC,BMC_prop,"{""password"":""A123456"",""data"":{""payload"":{""Propertyid"":""1000097140""},""type"":""BMC_prop""},""username"":""7207207205""}","{""success"": True, ""data"": {""response"": [{""data"": {""ExName"": ""???? ???????"", ""ExDemandDetails"": {""item"": [{""FiscalYear"": ""2022"", ""Amount"": ""720.0""}, {""FiscalYear"": ""2022"", ""Amount"": ""3666.0""}]}, ""ExPropertyid"": ""1000097140"", ""ExFatherName"": ""???.???? ??????"", ""ExZone"": ""???? ???. 18"", ""ExCircle"": ""?????????? ???. 4"", ""ExColony"": "" ?????? ??????? ????? ???"", ""ExWard"": ""82 - ????? ???"", ""ExAddress"": ""??-402, ?????? ?????,?????""}, ""success"": True, ""txnRef"": ""220706E1657097913937"", ""tax"": {""totalTax"": 4386, ""currentTax"": 4386, ""Arrears"": 0}}]}}","{""success"": True, ""data"": {""response"": [{""data"": {""ExName"": ""???? ???????"", ""ExDemandDetails"": {""item"": [{""FiscalYear"": ""2022"", ""Amount"": ""720.0""}, {""FiscalYear"": ""2022"", ""Amount"": ""3666.0""}]}, ""ExPropertyid"": ""1000097140"", ""ExFatherName"": ""???.???? ??????"", ""ExZone"": ""???? ???. 18"", ""ExCircle"": ""?????????? ???. 4"", ""ExColony"": "" ?????? ??????? ????? ???"", ""ExWard"": ""82 - ????? ???"", ""ExAddress"": ""??-402, ?????? ?????,?????""}, ""success"": True, ""txnRef"": ""220706E1657110108083"", ""tax"": {""totalTax"": 4386, ""currentTax"": 4386, ""Arrears"": 0}}]}}",Pass,1
